"","country","population","pm1998","pm1999","pm2000","pm2001","pm2002","pm2003","pm2004","pm2005","pm2006","pm2007","pm2008","pm2009","pm2010","pm2011","pm2012","pm2013","pm2014","pm2015","pm2016","pm2017","pm2018","pm2019","pm2020","pm2021"
"157","Nicaragua",6218420,15.5703597122302,12.7808633093525,12.6043884892086,14.466690647482,14.2681294964029,16.1546762589928,14.1551079136691,17.7458992805755,14.6509352517986,15.7687050359712,15.2956115107914,13.0865467625899,16.8720143884892,15.8287050359712,13.8589928057554,15.2746043165468,12.6518705035971,12.4764028776978,14.2646762589928,14.9094244604317,12.7723021582734,13.3805035971223,15.4023021582734,13.9630215827338
"158","Niger",23602767,8.05194444444444,7.62305555555556,7.18416666666667,7.02166666666667,7.43194444444444,8.55777777777778,8.52777777777778,8.52333333333333,9.01944444444444,9.08638888888889,9.39027777777778,9.82416666666667,10.655,9.54777777777778,10.5261111111111,8.41583333333333,9.22666666666667,9.57305555555556,9.34444444444444,10.0691666666667,10.2558333333333,10.2780555555556,9.49138888888889,8.30333333333333
"159","Nigeria",218604443,21.5014082687339,18.822015503876,21.1062532299742,22.087519379845,21.8250516795866,21.7668217054264,22.9647416020672,22.8835529715762,21.6325968992248,22.5551033591731,24.347519379845,22.896007751938,24.0707493540052,22.6133333333333,22.554819121447,21.1596899224806,20.9517958656331,20.8901162790698,23.6142506459948,23.4152713178295,23.9827131782946,23.1917054263566,23.8126873385013,23.2796511627907
"160","Niue",1864,0.7,0.75,1.02,0.83,1.04,0.94,0.96,1.1,1.11,0.92,1.06,1.09,0.94,0.93,1.02,1,0.95,1.04,0.91,1.07,1.05,1.07,1,0.94
"161","Norfolk Island",1713,1.51,1.4,1.6,1.52,1.85,1.72,1.63,1.69,1.74,1.7,1.42,1.8,1.6,1.7,1.61,1.64,1.77,1.73,1.69,1.74,1.71,2.96,1.9,1.8
"162","North Korea",25666964,20.0437634408602,18.8523655913978,21.0525806451613,22.1433870967742,20.0159677419355,30.1015053763441,22.9344086021505,24.302688172043,28.8589784946237,25.8853225806452,26.8073655913979,25.9209139784946,20.6071505376344,24.3793010752688,24.5201075268817,23.4998387096774,28.4091397849462,26.9693548387097,24.0288172043011,22.1358602150538,18.995376344086,19.3911827956989,19.4604301075269,18.7763440860215
"163","Northern Cyprus",427552,12.242,12.168,13.588,12.882,11.25,11.624,10.846,11.72,11.94,12.764,12.348,12.73,10.822,16.106,17.788,12.302,11.63,12.134,11.204,11.69,10.424,10.2,11.508,12.172
"164","Northern Mariana Islands",48593,0.85,0.823333333333333,0.966666666666667,1.06,1.18333333333333,1.38666666666667,1.38666666666667,1.44666666666667,1.39666666666667,1.29666666666667,1.39333333333333,1.23666666666667,1.07666666666667,1.23666666666667,1.65666666666667,1.40333333333333,1.43,1.73,0.95,1.16666666666667,0.876666666666667,1.08,0.863333333333333,0.98
"165","Norway",4957068,6.05284595300261,6.04451697127937,5.87464751958225,5.53976501305483,5.92548302872063,6.50054830287206,5.34809399477807,5.33389033942559,6.08945169712794,5.0243864229765,5.04574412532637,5.46425587467363,5.85903394255875,5.70963446475196,4.92906005221932,4.89519582245431,5.21261096605744,4.27028720626632,4.44417754569191,4.12036553524804,4.96626631853786,4.32660574412533,3.82093994778068,4.87125326370757
"166","Oman",3604932,10.0865306122449,10.6155102040816,11.8124489795918,10.3395918367347,11.4151020408163,9.57061224489796,9.64020408163265,9.9630612244898,12.9459183673469,11.2426530612245,12.7555102040816,13.9910204081633,13.0661224489796,12.7716326530612,13.8955102040816,13.119387755102,13.7840816326531,13.0679591836735,13.2661224489796,12.275306122449,13.560612244898,13.540612244898,11.5344897959184,12.3961224489796
"167","Pakistan",238039784,24.331625,23.7814375,25.47875,27.188625,26.6203125,27.41475,27.2191875,29.156375,32.175,31.5725,30.443125,30.0398125,33.305625,33.2454375,31.436875,32.094125,31.7289375,35.3974375,35.1276875,32.4655,30.4118125,34.0848125,34.9479375,34.5549375
"168","Palau",19097,1.68375,2.7125,2.6925,2.935,3.644375,3.714375,4.144375,3.440625,3.83875,3.316875,3.08125,5.07375,1.874375,3.8425,4.201875,3.569375,4.990625,6.09125,3.35125,3.19625,3.625625,4.145625,2.75625,3.26625
"169","Palestine",4919477,10.095,10.605625,13.53,12.550625,11.0925,10.804375,10.33375,10.786875,11.554375,11.24,11.049375,11.596875,11.169375,12.305625,13.835625,11.665625,10.755,13.02875,10.68875,12.054375,12.090625,11.549375,12.754375,12.92
"170","Panama",3887799,8.73417721518987,6.77113924050633,7.26455696202532,8.93658227848101,7.96810126582278,9.28772151898734,8.04253164556962,9.22316455696203,9.02873417721519,8.79050632911392,8.53645569620253,8.78810126582279,10.339746835443,9.8206329113924,9.85962025316456,9.39405063291139,9.54974683544304,9.36670886075949,9.85088607594937,9.53949367088608,8.8879746835443,9.11974683544304,9.01569620253164,9.08303797468354
"171","Papua New Guinea",7193016,3.83528735632184,4.28954022988506,8.30091954022988,10.5626436781609,10.2790804597701,10.2814942528736,12.2063218390805,11.0081609195402,12.1250574712644,12.716091954023,14.1434482758621,12.9312643678161,13.8550574712644,12.7240229885057,13.2505747126437,14.4887356321839,14.4673563218391,12.9903448275862,12.1064367816092,13.2014942528736,11.2135632183908,11.1618390804598,11.2273563218391,12.9648275862069
"172","Paracel Islands",209,10.69,8.89,11.13,8.76,8.78,10.23,12.32,10.95,12.39,11.81,11.63,12.12,8.22,12.15,8.76,11.03,10.76,10.25,10.77,8.63,8.92,8.48,6.49,6.66
"173","Paraguay",7260580,13.5526146788991,16.5062844036697,13.1740825688073,14.2534403669725,18.2983486238532,15.8159633027523,14.6596788990826,14.8874770642202,14.1373853211009,19.7145871559633,12.7488073394495,12.9824311926606,12.8967889908257,12.1323394495413,12.9008256880734,11.7751376146789,13.4356422018349,14.1314220183486,12.6727064220183,12.8074770642202,11.6971100917431,13.7734403669725,16.2363302752294,13.5370183486239
"174","Peru",32136270,18.8732307692308,17.4301025641026,21.3975897435897,26.6098461538462,26.7816923076923,27.8786666666667,27.9808205128205,27.4527692307692,24.8251282051282,26.3235384615385,23.1175384615385,23.3391794871795,25.5728717948718,23.437641025641,23.3441538461538,23.1392820512821,22.6798974358974,22.8177948717949,23.8624102564103,24.049641025641,22.7681538461538,23.1297948717949,23.0551282051282,22.311641025641
"175","Philippines",108032572,13.3902394106814,12.7159975445058,14.5657213014119,15.299533456108,15.5909085328422,15.946101903008,17.1852240638428,18.0105524861878,15.9761448741559,16.3100122774708,15.4796255371393,18.2186556169429,15.780073664825,16.7584714548803,15.9615285451197,15.9725905463475,17.2084837323511,16.7011909146716,15.3081154082259,16.0515715162676,14.0399754450583,16.412934315531,14.9854880294659,15.6268569674647
"176","Pitcairn Islands",14,0.9,1.11,1.11,1.06,1.37,1.11,1.27,1.5,1.56,1.51,1.6,1.75,1.56,1.63,2.08,1.84,1.58,1.6,1.4,1.64,1.71,1.86,2.02,1.96
"177","Poland",38156837,25.1065789473684,23.8589736842105,22.2850526315789,24.3008684210526,26.0321842105263,25.9987105263158,22.3405263157895,23.4430263157895,25.1737631578947,19.8632894736842,19.6738947368421,22.2610526315789,25.9282894736842,23.4200789473684,21.4021315789474,20.8484473684211,20.9098947368421,19.4308684210526,19.0464736842105,19.3716315789474,18.9579736842105,15.5824210526316,14.5614736842105,17.4049473684211
"178","Portugal",10153019,8.02357142857143,7.89224025974026,7.63428571428571,7.86178571428571,7.8450974025974,8.00230519480519,7.55938311688312,9.79512987012987,7.9226948051948,7.73155844155844,5.29412337662338,6.01746753246753,5.96022727272727,6.13211038961039,5.47383116883117,6.3687987012987,5.33116883116883,6.44376623376623,5.98814935064935,6.09496753246753,5.21061688311688,4.71571428571429,4.9962012987013,5.51840909090909
"179","Puerto Rico",3220326,2.68820512820513,3.50820512820513,2.7851282051282,3.01512820512821,2.45487179487179,2.63384615384615,2.20653846153846,3.00961538461538,3.04666666666667,2.63833333333333,2.15423076923077,2.2924358974359,3.5625641025641,2.21217948717949,2.28294871794872,2.0551282051282,2.22333333333333,2.09666666666667,2.36717948717949,2.85051282051282,2.61269230769231,2.68769230769231,2.54576923076923,2.78538461538462
"180","Qatar",2445028,20.5742857142857,20.2685714285714,22.6028571428571,19.3257142857143,21.4985714285714,18.8257142857143,18.6628571428571,19.1585714285714,21.7357142857143,21.1942857142857,23.7071428571429,26.0528571428571,27.4628571428571,26.1157142857143,28.4714285714286,26.2342857142857,27.4857142857143,27.2271428571429,27.9157142857143,32.4185714285714,29.6857142857143,30.8728571428571,27.7185714285714,30.2242857142857
"181","Republic of the Congo",5459096,28.6454166666667,23.7477083333333,28.29125,30.6245833333333,30.0345833333333,27.815625,32.071875,29.095625,25.635,29.7279166666667,33.9364583333333,32.3433333333333,34.12625,32.6527083333333,32.289375,35.5039583333333,32.4152083333333,32.350625,32.840625,28.965,32.02,31.084375,33.0875,32.6179166666667
"182","Réunion",844547,2.80708333333333,2.52041666666667,2.59291666666667,2.81666666666667,2.64916666666667,2.755,3.01958333333333,3.4675,2.97625,3.14541666666667,2.94916666666667,2.90333333333333,3.35458333333333,3.38708333333333,3.15041666666667,3.2125,2.75916666666667,3.00916666666667,3.31416666666667,3.22,3.37541666666667,3.46333333333333,2.60833333333333,2.97375
"183","Romania",21230301,19.582337529772,18.8063014630827,17.9040966315073,18.987039809459,19.9495746852671,19.9998230690711,18.9064273562436,19.4257264375638,19.6440149710786,17.2879040489963,16.8226845865941,16.8753045253488,15.9324668254508,20.4225825110582,18.8731030962913,16.2385879550868,15.2518986049677,15.9335624362028,15.6590881252127,17.6700680503573,15.4816025859136,13.8304865600544,13.5655495066349,14.6192752636951
"184","Russia",141131855,13.8341684122329,12.9582949308756,12.7664264767491,12.5276204440721,13.7499832425639,13.5614076246334,12.0630289065773,12.5590448261416,13.3830917469627,11.6552534562212,12.5298743192292,12.436112274822,12.7968789275241,11.3560536237956,12.6829367406787,11.0842521994135,11.5754042731462,10.6541893590281,11.3246711353163,11.0169250104734,10.0719983242564,10.4303267700042,9.42212400502723,10.4025722664432
"185","Rwanda",12934347,29.11,21.861,33.366,38.171,34.406,27.9536666666667,35.6693333333333,35.3013333333333,30.3613333333333,39.5266666666667,37.816,34.76,36.6023333333333,38.4006666666667,37.6136666666667,38.394,34.208,35.8106666666667,35.0833333333333,30.7583333333333,30.5856666666667,34.96,34.2046666666667,32.372
"186","Saint Helena, Ascension and Tris",7530,3.072,2.471,2.863,2.246,2.34,2.906,2.845,3.087,2.477,3.28,3.133,2.883,2.976,3.306,2.805,2.982,2.701,3.033,2.91,3.296,2.334,3.202,2.595,2.689
"187","Saint Kitts and Nevis",50528,3.04428571428571,3.75071428571429,3.44214285714286,3.63071428571429,2.88928571428571,3.35785714285714,3.19142857142857,4.34857142857143,4.05,3.435,3.33,3.83428571428571,5.03785714285714,3.45857142857143,3.95,2.82357142857143,2.90571428571429,3.19357142857143,3.43214285714286,3.30714285714286,3.09928571428571,3.04071428571429,2.77785714285714,3.10285714285714
"188","Saint Lucia",160086,2.37,3.177,2.494,2.987,2.311,2.713,2.597,3.08,2.753,2.484,2.654,2.978,3.741,2.761,2.733,2.274,2.114,2.227,2.589,2.651,2.284,2.319,2.202,2.376
"189","Saint Pierre and Miquelon",5065,4.45,4.535,4.075,3.8,3.97,4.095,3.42,3.545,3.795,3.125,3.42,3.585,3.55,3.835,3,4.46,4.15,4.07,3.225,4.025,3.12,3.125,3.99,3.835
"190","Saint Vincent and the Grenadines",91461,2.40666666666667,3.13833333333333,2.65333333333333,3.125,2.58833333333333,2.86166666666667,2.77166666666667,3.16,2.85,2.64166666666667,2.77833333333333,3.13833333333333,4.07833333333333,2.83333333333333,2.98166666666667,2.43333333333333,2.22166666666667,2.49666666666667,2.85,2.945,2.555,2.53166666666667,2.35333333333333,2.59
